pclass	age	sex	survived
1st	adult	male	yes
1st	adult	male	yes
1st	adult	male	yes
1st	adult	male	yes
1st	adult	male	yes
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	no
1st	adult	female	no
1st	child	male	yes
1st	child	female	yes
2nd	adult	male	yes
2nd	adult	male	yes
2nd	adult	male	yes
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	adult	male	no
2nd	child	female	yes
2nd	child	female	yes
2nd	child	female	yes
2nd	child	female	yes
2nd	child	female	yes
2nd	child	female	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
3rd	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	female	yes
crew	adult	female	yes
crew	adult	female	yes
crew	adult	female	yes
crew	adult	female	yes
crew	adult	female	no
crew	adult	female	no
crew	adult	female	no
